Date,RealizationDate,Portfolio,RealizedNextReturn
1986-02-01,1986-03-01,ME5 BM3,5.3412
1986-02-01,1986-03-01,ME5 BM4,4.7774
1986-02-01,1986-03-01,BIG HiBM,4.7372
1986-03-01,1986-04-01,SMALL LoBM,2.746
1986-03-01,1986-04-01,ME1 BM2,2.3361
1986-03-01,1986-04-01,ME1 BM3,0.8821
1986-03-01,1986-04-01,ME1 BM4,0.5291
1986-03-01,1986-04-01,SMALL HiBM,0.4177
1986-03-01,1986-04-01,ME2 BM1,2.3746
1986-03-01,1986-04-01,ME2 BM2,1.9488
1986-03-01,1986-04-01,ME2 BM3,-0.1073
1986-03-01,1986-04-01,ME2 BM4,1.0472
1986-03-01,1986-04-01,ME2 BM5,-1.5139
1986-03-01,1986-04-01,ME3 BM1,1.9919
1986-03-01,1986-04-01,ME3 BM2,2.3235
